IPK,Mata Kuliah Tidak Lulus,Jumlah Cuti Akademik,Pekerjaan Sambil Kuliah,Jumlah Semester,Status Kelulusan,IPS Rata-rata,IPS Semester Akhir,IPS Tren,Kategori Kehadiran
2.14,2,0,Tidak,9,0,3.0733333333333333,2.88,-0.6299999999999999,Sedang
3.38,1,0,Ya,14,0,2.9778571428571428,2.59,-1.1100000000000003,Sedang
3.83,5,0,Tidak,11,1,2.9818181818181824,3.68,1.37,Sedang
2.7,4,0,Ya,14,1,2.9857142857142853,2.88,-0.75,Rendah
3.61,0,0,Ya,7,1,2.9699999999999998,3.83,0.5100000000000002,Tinggi
2.55,2,1,Tidak,11,1,3.080909090909091,2.74,-0.7899999999999996,Rendah
2.9,4,1,Tidak,10,0,3.1340000000000003,2.3,-0.8000000000000003,Tinggi
3.48,3,1,Ya,14,0,3.0100000000000002,3.42,0.6000000000000001,Rendah
3.6,1,2,Ya,13,1,2.994615384615384,3.65,1.13,Sedang
3.98,1,2,Ya,13,1,3.123076923076923,3.92,1.7199999999999998,Sedang
2.89,1,1,Tidak,14,1,2.7392857142857143,2.14,-1.13,Rendah
2.98,0,1,Tidak,13,0,3.164615384615385,3.96,1.5499999999999998,Sedang
2.87,1,2,Tidak,14,0,2.8528571428571428,2.38,-0.08000000000000007,Tinggi
3.76,5,2,Tidak,9,0,3.1,3.27,0.6099999999999999,Tinggi
2.95,4,1,Ya,12,0,2.935,3.11,0.54,Rendah
3.64,2,1,Tidak,7,1,2.9414285714285713,3.36,-0.16000000000000014,Sedang
2.88,1,0,Ya,8,0,2.9475,2.1,-0.3900000000000001,Tinggi
2.81,5,1,Ya,12,1,3.065,3.41,-0.2599999999999998,Rendah
3.15,1,0,Tidak,8,1,2.96125,3.51,0.1499999999999999,Tinggi
2.63,5,1,Ya,13,0,2.8638461538461537,2.9,0.48999999999999977,Rendah
3.55,2,0,Ya,9,1,2.697777777777778,2.85,0.10999999999999988,Sedang
2.39,3,2,Tidak,11,0,3.0990909090909087,2.8,-1.1100000000000003,Tinggi
3.56,3,2,Ya,13,1,2.888461538461539,3.67,1.62,Sedang
3.89,4,2,Ya,10,0,3.2660000000000005,3.79,1.73,Tinggi
3.83,3,2,Tidak,7,1,3.117142857142857,3.95,1.4500000000000002,Sedang
3.98,0,1,Tidak,7,0,2.707142857142857,3.99,1.9800000000000004,Sedang
3.43,5,2,Tidak,11,1,3.1254545454545455,3.53,0.77,Tinggi
2.54,1,2,Ya,10,1,2.998,2.18,-0.16999999999999993,Rendah
2.97,2,2,Ya,10,1,3.018,3.71,1.2999999999999998,Rendah
2.31,5,2,Ya,12,1,2.7750000000000004,2.62,-1.25,Rendah
2.45,3,1,Ya,11,0,3.008181818181818,2.54,-1.2799999999999998,Tinggi
3.42,3,1,Ya,8,0,3.1399999999999997,2.51,-0.16000000000000014,Tinggi
2.16,1,2,Tidak,11,1,2.8590909090909093,2.81,0.1200000000000001,Rendah
3.23,1,1,Tidak,10,0,3.1599999999999997,2.91,0.5700000000000003,Sedang
3.61,3,2,Tidak,13,0,2.858461538461538,3.18,0.8200000000000003,Sedang
3.87,4,2,Tidak,12,1,2.9983333333333335,2.68,0.20999999999999996,Rendah
3.2,5,0,Ya,11,1,3.1236363636363635,2.71,-0.52,Tinggi
2.16,4,1,Tidak,8,0,2.5774999999999997,2.21,-0.6600000000000001,Sedang
3.39,1,1,Tidak,9,1,3.0322222222222224,2.05,-0.6200000000000001,Rendah
3.42,1,2,Tidak,14,0,3.2757142857142854,2.24,-0.07999999999999963,Sedang
3.46,5,2,Ya,14,0,3.0721428571428575,3.56,0.1299999999999999,Tinggi
2.74,1,2,Ya,7,1,2.835714285714286,2.87,0.6200000000000001,Tinggi
2.72,5,2,Ya,12,1,3.234166666666667,2.84,0.13999999999999968,Sedang
2.92,5,0,Tidak,10,0,2.7020000000000004,2.18,0.17000000000000037,Rendah
2.33,3,1,Tidak,10,1,2.824,3.77,1.7000000000000002,Tinggi
2.84,4,0,Tidak,8,0,2.91125,2.09,-0.3500000000000001,Tinggi
3.64,3,1,Ya,14,1,3.129285714285714,3.98,1.0699999999999998,Tinggi
3.87,3,0,Tidak,8,0,3.11625,3.61,0.7599999999999998,Rendah
2.59,5,0,Tidak,11,1,3.1900000000000004,3.9,0.9299999999999997,Rendah
3.84,4,1,Tidak,8,1,2.6375,2.97,0.52,Rendah
3.23,1,1,Ya,8,0,3.34125,3.35,-0.48,Tinggi
2.02,1,2,Ya,7,1,3.1942857142857144,3.37,0.8000000000000003,Rendah
3.06,3,2,Ya,7,0,2.3885714285714283,2.18,0.15000000000000036,Rendah
2.93,5,1,Ya,13,0,3.0500000000000003,2.16,-1.1599999999999997,Sedang
2.86,3,2,Tidak,9,1,2.74,2.32,-0.07000000000000028,Tinggi
2.35,5,0,Tidak,7,1,2.7071428571428577,3.05,0.6499999999999999,Rendah
3.5,4,0,Ya,8,1,2.6525,2.12,-0.5499999999999998,Tinggi
3.83,5,0,Ya,8,0,3.0012499999999998,2.26,-0.07000000000000028,Rendah
3.64,0,0,Ya,12,0,3.1616666666666666,2.76,0.3099999999999996,Tinggi
3.14,3,2,Tidak,10,1,2.994,3.27,0.14000000000000012,Sedang
2.68,3,1,Tidak,10,0,3.137,3.21,-0.69,Rendah
2.03,0,2,Tidak,12,0,3.0216666666666665,2.76,-0.8600000000000003,Rendah
3.55,2,1,Tidak,10,1,3.304,3.05,-0.6700000000000004,Rendah
2.34,0,0,Ya,8,1,3.27625,3.45,-0.22999999999999998,Sedang
2.96,1,0,Tidak,10,1,2.909,2.52,-0.5899999999999999,Rendah
3.14,1,0,Ya,13,1,2.8,2.8,-0.56,Sedang
2.6,5,2,Tidak,12,1,3.1075000000000004,2.04,-1.94,Tinggi
2.64,1,1,Tidak,10,1,2.883,2.54,-0.81,Rendah
3.45,2,1,Ya,8,1,2.93,2.18,-0.25,Rendah
2.69,1,2,Tidak,7,0,2.742857142857143,3.76,1.65,Sedang
2.6,0,0,Tidak,11,0,3.1645454545454546,3.5,1.06,Rendah
3.74,4,0,Tidak,10,0,2.998,2.44,0.41000000000000014,Rendah
3.5,1,1,Ya,7,0,2.8685714285714283,2.72,-0.45999999999999996,Rendah
3.23,3,1,Ya,11,1,3.036363636363636,3.83,0.8799999999999999,Rendah
2.5,1,1,Ya,13,0,3.1653846153846152,3.79,0.71,Rendah
3.53,2,0,Ya,12,1,2.9675,2.2,-1.4899999999999998,Rendah
3.37,4,1,Tidak,12,0,3.034166666666667,2.6,-0.3999999999999999,Tinggi
2.7,4,2,Tidak,13,0,3.164615384615385,3.04,0.8399999999999999,Sedang
3.84,4,0,Tidak,7,0,3.262857142857143,2.67,-1.19,Rendah
3.22,1,0,Ya,8,1,3.105,2.01,-1.8000000000000003,Sedang
2.56,5,2,Ya,7,0,3.0985714285714288,3.17,1.0299999999999998,Tinggi
3.26,3,2,Ya,12,0,3.259166666666667,3.92,1.15,Tinggi
3.02,2,0,Tidak,9,1,3.318888888888889,3.38,-0.020000000000000018,Rendah
3.77,1,0,Tidak,9,1,3.3455555555555554,3.54,-0.20999999999999996,Rendah
2.4,5,1,Tidak,14,0,3.1735714285714285,3.88,0.0,Rendah
2.03,3,0,Tidak,13,0,2.9130769230769227,2.74,-0.3999999999999999,Tinggi
2.77,3,0,Tidak,10,1,3.2389999999999994,2.3,-1.02,Sedang
2.41,3,2,Ya,7,1,2.8871428571428575,3.84,-0.15000000000000036,Tinggi
2.69,3,2,Ya,14,1,2.8335714285714286,2.72,-1.17,Tinggi
2.23,4,0,Tidak,7,1,3.0442857142857145,3.39,0.8700000000000001,Rendah
3.2,0,0,Ya,10,0,2.8329999999999997,2.67,-0.8799999999999999,Sedang
3.18,4,0,Ya,10,1,2.857,2.86,0.56,Tinggi
2.54,2,1,Ya,13,0,3.236923076923077,3.55,1.0599999999999996,Tinggi
3.04,2,2,Tidak,9,0,2.8133333333333335,3.19,-0.81,Tinggi
2.15,5,1,Tidak,9,0,3.293333333333333,3.9,0.45999999999999996,Rendah
3.64,0,0,Tidak,12,1,3.095833333333333,2.22,-0.96,Rendah
2.54,0,1,Ya,11,0,2.930909090909091,3.58,0.18000000000000016,Tinggi
2.47,0,0,Ya,7,1,3.15,2.91,-0.20999999999999996,Sedang
3.48,5,0,Ya,13,0,2.8499999999999996,2.82,-0.8000000000000003,Sedang
3.56,4,1,Ya,11,0,2.8736363636363635,3.51,0.029999999999999805,Sedang
2.06,5,0,Ya,10,1,2.812,2.89,0.11000000000000032,Rendah
3.76,4,1,Tidak,13,0,2.8153846153846156,2.06,0.010000000000000231,Sedang
2.1,5,1,Tidak,11,1,2.9272727272727277,2.34,0.04999999999999982,Rendah
3.58,0,1,Tidak,8,1,2.8274999999999997,3.04,-0.54,Sedang
2.74,1,0,Tidak,13,1,2.6030769230769226,2.07,-0.73,Tinggi
2.63,1,1,Tidak,9,0,2.996666666666667,3.39,1.1400000000000001,Tinggi
3.42,4,0,Ya,14,1,2.8442857142857143,2.04,-0.14000000000000012,Tinggi
2.07,1,1,Tidak,12,0,2.9166666666666665,2.59,-1.04,Rendah
2.22,3,0,Ya,7,0,2.6485714285714286,2.76,0.6299999999999999,Sedang
2.73,0,1,Tidak,11,0,2.6809090909090907,2.34,-0.5800000000000001,Tinggi
3.13,3,2,Ya,12,0,3.4483333333333337,2.85,-0.8700000000000001,Sedang
2.49,0,0,Tidak,11,0,3.1,3.58,0.8399999999999999,Sedang
2.58,4,0,Tidak,10,0,3.0580000000000003,2.56,0.5300000000000002,Rendah
2.51,3,0,Ya,11,0,3.1181818181818186,3.38,-0.5800000000000001,Tinggi
2.66,4,0,Ya,11,0,2.9599999999999995,3.85,0.25,Sedang
2.92,5,1,Ya,11,1,2.8200000000000003,2.86,0.69,Tinggi
3.41,4,0,Tidak,12,0,2.9766666666666666,3.71,1.1099999999999999,Rendah
3.24,1,0,Ya,10,0,2.9450000000000003,3.75,0.3999999999999999,Rendah
2.16,2,1,Tidak,8,0,3.0025,2.36,-1.56,Tinggi
3.85,5,1,Ya,7,0,2.9828571428571427,2.29,-1.65,Sedang
3.01,2,1,Ya,12,1,2.8008333333333333,2.39,-0.04999999999999982,Sedang
3.91,4,0,Ya,8,1,3.4,3.62,-0.31999999999999984,Sedang
3.7,5,1,Tidak,11,0,3.098181818181818,2.37,-0.54,Tinggi
2.75,1,1,Ya,11,1,3.119090909090909,3.66,1.6100000000000003,Tinggi
3.08,1,0,Ya,13,0,3.092307692307692,2.4,-1.2200000000000002,Tinggi
3.91,0,2,Tidak,9,0,2.927777777777778,3.59,0.08000000000000007,Rendah
2.35,0,2,Tidak,7,0,3.005714285714286,2.62,0.56,Tinggi
3.34,5,2,Tidak,13,0,2.5846153846153848,2.12,-0.9299999999999997,Tinggi
2.96,0,0,Ya,8,0,2.4625000000000004,2.49,0.4800000000000004,Tinggi
2.28,3,1,Ya,9,1,3.207777777777778,3.23,1.1800000000000002,Tinggi
3.04,5,2,Ya,11,0,3.011818181818182,3.05,-0.06000000000000005,Tinggi
3.15,1,2,Tidak,10,1,3.087,3.16,0.8200000000000003,Sedang
2.06,2,2,Tidak,11,1,3.283636363636364,3.71,1.31,Sedang
2.39,1,0,Ya,9,0,3.342222222222222,3.08,0.4500000000000002,Rendah
3.53,5,2,Tidak,14,0,3.2085714285714286,3.1,0.20999999999999996,Sedang
3.82,0,2,Ya,7,0,3.2985714285714285,3.52,0.33000000000000007,Tinggi
3.64,0,1,Ya,8,1,2.9775,3.45,1.0500000000000003,Sedang
3.9,4,0,Tidak,12,1,3.378333333333334,3.67,0.31000000000000005,Sedang
2.27,2,1,Tidak,11,1,3.171818181818182,2.92,-0.48,Rendah
3.93,4,1,Ya,10,0,2.857,2.37,0.31000000000000005,Tinggi
2.27,2,1,Ya,14,1,2.801428571428572,2.2,0.17000000000000037,Tinggi
3.14,4,1,Tidak,9,0,3.05,3.31,-0.10999999999999988,Rendah
3.22,0,1,Ya,8,1,2.9725,3.98,1.0899999999999999,Rendah
2.76,0,0,Tidak,14,1,2.7842857142857143,2.08,-1.12,Rendah
3.05,3,1,Ya,11,1,3.1627272727272726,3.62,-0.1599999999999997,Rendah
2.72,3,2,Tidak,11,0,2.711818181818182,3.02,0.96,Rendah
2.42,5,2,Tidak,10,0,2.827,2.65,0.5099999999999998,Sedang
3.13,5,2,Ya,9,0,2.7222222222222223,2.66,0.26000000000000023,Rendah
2.28,2,0,Tidak,12,0,2.853333333333333,3.05,0.96,Rendah
2.73,4,2,Ya,12,0,3.1625,3.66,0.9100000000000001,Rendah
2.31,3,1,Ya,10,1,3.002,2.87,-0.81,Tinggi
2.93,2,1,Ya,12,1,3.0500000000000003,3.45,0.7600000000000002,Rendah
2.79,0,2,Tidak,9,1,3.2633333333333336,2.91,-0.98,Rendah
2.67,0,2,Tidak,7,1,2.8114285714285714,2.92,0.81,Tinggi
2.67,0,2,Tidak,8,1,2.87375,3.44,-0.08000000000000007,Sedang
2.88,1,1,Tidak,12,1,3.1475000000000004,3.45,0.3500000000000001,Tinggi
3.07,0,0,Tidak,7,1,3.5171428571428573,3.47,-0.5,Rendah
2.04,3,2,Ya,10,0,2.7630000000000003,2.12,-1.1099999999999999,Rendah
3.5,4,1,Ya,11,0,3.005454545454546,2.15,-0.0900000000000003,Sedang
2.92,5,2,Ya,9,1,2.675555555555556,2.28,-0.6300000000000003,Tinggi
2.57,4,0,Ya,8,1,2.8899999999999997,2.41,0.31000000000000005,Sedang
3.6,1,0,Ya,8,1,3.06875,2.1,-1.08,Rendah
3.34,0,0,Ya,7,1,3.1857142857142864,3.13,0.96,Rendah
3.26,0,2,Ya,13,1,2.887692307692308,2.41,0.15000000000000036,Sedang
2.78,4,2,Tidak,7,0,2.661428571428572,3.69,1.1400000000000001,Sedang
3.81,3,2,Tidak,14,1,2.9735714285714288,3.2,1.1800000000000002,Sedang
2.13,3,1,Tidak,12,1,2.900833333333333,2.37,-1.08,Tinggi
2.24,3,1,Ya,13,1,2.835384615384615,2.34,0.04999999999999982,Rendah
3.28,0,2,Tidak,13,1,2.976153846153846,3.41,-0.5699999999999998,Tinggi
2.87,1,0,Ya,13,0,3.02,3.61,0.31999999999999984,Sedang
2.86,5,0,Tidak,14,1,3.2271428571428573,3.12,0.43999999999999995,Rendah
3.69,1,1,Ya,12,0,2.7291666666666665,3.52,1.1600000000000001,Rendah
3.36,1,1,Ya,14,1,3.037857142857143,2.59,0.46999999999999975,Rendah
2.8,4,1,Tidak,14,1,2.849285714285714,2.32,-0.03000000000000025,Tinggi
3.45,3,2,Tidak,7,0,3.1514285714285717,2.49,-1.3299999999999996,Tinggi
3.42,3,0,Ya,10,0,2.8640000000000003,2.28,-0.7100000000000004,Sedang
2.09,0,1,Ya,12,1,2.966666666666667,2.95,0.28000000000000025,Tinggi
3.62,4,2,Tidak,9,1,2.988888888888889,2.42,-0.5100000000000002,Sedang
2.52,0,2,Tidak,9,1,2.947777777777778,3.61,1.2799999999999998,Rendah
2.13,5,1,Ya,12,0,2.811666666666666,2.69,-0.2400000000000002,Rendah
3.39,3,1,Tidak,12,0,2.739166666666667,2.87,0.7200000000000002,Sedang
2.82,1,0,Tidak,8,0,3.04125,2.87,-0.18999999999999995,Sedang
2.78,0,2,Ya,7,1,2.707142857142857,2.18,-0.1299999999999999,Tinggi
2.37,4,2,Ya,13,1,2.8623076923076924,2.83,0.18000000000000016,Rendah
2.07,0,1,Ya,7,1,3.4499999999999997,3.75,1.5899999999999999,Sedang
2.48,1,0,Ya,10,1,3.343,3.15,-0.81,Rendah
3.93,1,1,Tidak,12,1,3.148333333333333,3.3,-0.33000000000000007,Sedang
3.73,2,1,Ya,14,0,2.9692857142857143,3.43,1.3900000000000001,Sedang
3.95,3,0,Ya,10,1,3.228,2.24,-0.9299999999999997,Tinggi
3.05,2,1,Ya,11,1,2.9518181818181817,2.68,-0.20999999999999996,Sedang
2.03,4,0,Ya,10,0,3.031,2.19,-1.69,Sedang
3.07,4,2,Tidak,9,0,2.7555555555555555,2.28,-0.5300000000000002,Rendah
3.8,3,2,Tidak,7,1,2.9642857142857144,3.56,0.6099999999999999,Tinggi
3.09,2,1,Ya,7,1,3.107142857142857,3.55,-0.11000000000000032,Rendah
3.34,1,1,Ya,10,1,2.9059999999999997,2.47,-0.8999999999999999,Sedang
3.33,0,1,Ya,10,0,3.089,3.68,0.5700000000000003,Sedang
2.97,2,0,Ya,7,1,2.8985714285714286,3.05,-0.31000000000000005,Rendah
4.0,1,0,Ya,14,0,2.927857142857143,3.65,1.29,Sedang
3.81,2,1,Ya,8,1,3.035,3.94,0.8300000000000001,Rendah
3.76,4,0,Tidak,10,0,2.918,2.13,-1.8400000000000003,Rendah
3.9,4,2,Tidak,10,0,2.8230000000000004,2.67,-0.1200000000000001,Tinggi
3.37,3,1,Ya,14,0,2.900714285714286,3.25,-0.08000000000000007,Tinggi
3.73,2,2,Tidak,7,0,2.6671428571428573,2.9,0.6599999999999997,Tinggi
2.9,3,2,Tidak,12,0,3.1058333333333334,2.43,-0.7399999999999998,Tinggi
2.22,1,1,Ya,9,1,3.5122222222222224,3.61,0.11999999999999966,Rendah
3.89,2,2,Ya,10,1,3.103,2.93,-0.21999999999999975,Tinggi
2.42,4,0,Ya,11,0,3.2018181818181817,3.77,0.69,Rendah
2.49,5,2,Tidak,13,1,3.1692307692307695,3.41,0.43999999999999995,Tinggi
2.11,3,0,Tidak,14,1,2.8807142857142862,2.2,-0.29000000000000004,Sedang
3.24,4,1,Tidak,10,0,3.066,3.97,1.6100000000000003,Rendah
2.8,0,1,Ya,13,1,2.8715384615384614,2.02,-0.7599999999999998,Sedang
2.79,0,2,Ya,13,0,2.987692307692307,2.39,0.25,Rendah
3.39,3,1,Tidak,11,0,3.1463636363636365,3.8,1.13,Rendah
3.33,5,0,Tidak,9,1,2.9388888888888887,3.62,1.4300000000000002,Rendah
2.69,4,0,Ya,10,0,2.7749999999999995,2.45,-0.6599999999999997,Rendah
3.94,1,2,Ya,13,1,3.074615384615385,3.73,1.44,Rendah
2.41,2,1,Ya,14,1,3.150000000000001,3.41,0.48,Rendah
3.22,1,2,Tidak,7,1,2.662857142857143,3.43,1.23,Rendah
3.36,4,2,Ya,14,1,3.32,2.65,-0.8599999999999999,Sedang
3.26,4,1,Ya,14,1,2.975714285714286,2.28,0.08999999999999986,Tinggi
2.29,3,1,Ya,8,0,3.1187500000000004,2.6,-0.6200000000000001,Sedang
3.6,1,2,Tidak,13,1,3.012307692307692,3.1,0.3400000000000003,Sedang
3.94,0,0,Ya,9,1,2.8244444444444445,3.49,0.4400000000000004,Rendah
2.53,4,1,Ya,8,0,2.9475000000000002,2.89,-1.0,Sedang
2.07,1,1,Tidak,10,0,3.217,3.71,0.18999999999999995,Sedang
2.05,3,0,Tidak,10,1,2.936,3.79,0.5699999999999998,Sedang
2.15,4,2,Tidak,13,1,3.4099999999999997,3.4,0.8500000000000001,Rendah
2.99,0,0,Ya,14,0,2.9814285714285704,2.11,-0.5700000000000003,Sedang
3.43,5,1,Tidak,11,1,2.7245454545454546,3.03,0.5699999999999998,Tinggi
2.72,2,1,Tidak,14,0,2.975,2.4,-1.5700000000000003,Tinggi
3.43,5,2,Tidak,13,1,3.1546153846153846,3.74,0.10000000000000009,Rendah
2.71,4,1,Ya,9,1,3.005555555555556,2.74,-1.23,Rendah
2.71,3,2,Tidak,11,0,3.0690909090909098,2.58,-0.6000000000000001,Sedang
2.72,4,1,Ya,11,1,2.9745454545454546,2.66,-0.7399999999999998,Sedang
3.23,2,0,Ya,8,0,2.80625,2.58,0.03000000000000025,Rendah
3.55,1,0,Ya,9,1,2.947777777777778,3.52,-0.16000000000000014,Tinggi
2.11,3,0,Ya,8,1,2.5774999999999997,3.35,0.98,Rendah
3.24,4,0,Ya,11,0,2.930909090909091,2.43,-0.4299999999999997,Tinggi
2.79,2,2,Tidak,7,1,2.948571428571429,2.08,-1.13,Rendah
2.99,3,0,Ya,7,0,2.9,2.74,0.40000000000000036,Sedang
2.69,3,1,Tidak,7,1,3.067142857142857,3.09,-0.20999999999999996,Sedang
3.88,4,0,Ya,8,0,3.16375,2.48,-1.48,Sedang
2.23,5,2,Ya,14,1,3.0642857142857145,3.09,-0.6400000000000001,Rendah
3.32,0,0,Tidak,10,1,3.2700000000000005,2.7,-0.8999999999999999,Rendah
3.56,3,2,Ya,8,1,3.08,2.57,-0.22999999999999998,Sedang
3.26,1,0,Tidak,7,0,2.6314285714285712,3.6,1.5300000000000002,Sedang
3.63,2,0,Tidak,10,1,3.3649999999999998,2.88,-1.0500000000000003,Sedang
2.95,0,2,Ya,14,0,2.8864285714285716,2.99,0.6600000000000001,Sedang
2.32,2,1,Tidak,11,1,2.963636363636364,2.4,0.33999999999999986,Tinggi
3.16,2,0,Ya,12,1,3.0316666666666667,2.43,-0.06000000000000005,Sedang
3.82,5,2,Ya,14,0,3.1149999999999993,3.73,0.4500000000000002,Tinggi
2.36,2,0,Tidak,13,0,3.066153846153846,3.41,1.29,Rendah
2.44,3,2,Ya,14,1,2.8207142857142857,2.43,-1.1799999999999997,Tinggi
3.02,1,1,Ya,7,1,2.968571428571429,3.76,1.3899999999999997,Rendah
3.93,4,1,Tidak,12,1,3.0491666666666664,3.83,1.25,Sedang
3.62,3,1,Tidak,10,1,2.732,3.18,0.54,Sedang
3.13,4,2,Tidak,12,0,2.8808333333333334,3.95,1.58,Tinggi
3.09,4,1,Ya,11,0,2.8109090909090906,3.02,0.6299999999999999,Tinggi
2.21,1,1,Ya,10,1,2.935,2.12,-1.37,Sedang
3.57,2,2,Ya,14,0,2.853571428571428,2.23,-1.21,Sedang
2.67,3,0,Tidak,11,0,2.8890909090909087,3.47,0.8800000000000003,Rendah
2.07,2,2,Tidak,10,1,3.118,3.46,-0.1200000000000001,Rendah
2.7,4,0,Ya,14,1,3.0971428571428565,3.03,-0.4200000000000004,Rendah
2.61,1,0,Ya,13,0,2.8415384615384616,3.73,0.43999999999999995,Rendah
3.29,4,0,Tidak,11,1,2.930909090909091,2.9,0.3999999999999999,Tinggi
3.37,0,0,Tidak,13,0,2.723076923076923,2.2,0.13000000000000034,Rendah
3.27,0,1,Ya,9,1,3.0755555555555554,3.74,0.29000000000000004,Tinggi
3.15,4,0,Ya,12,1,2.8383333333333334,3.43,0.45999999999999996,Rendah
3.87,2,0,Tidak,12,1,2.9883333333333333,3.19,1.17,Rendah
2.29,3,2,Ya,11,0,2.929090909090909,2.87,-0.1599999999999997,Rendah
2.88,2,1,Tidak,10,1,2.936,3.83,0.06000000000000005,Tinggi
3.82,4,1,Tidak,10,0,3.1469999999999994,3.0,0.48,Tinggi
3.57,0,2,Ya,12,0,3.078333333333333,3.5,-0.1299999999999999,Rendah
2.35,1,1,Tidak,9,0,3.1533333333333338,3.83,0.7800000000000002,Rendah
3.57,0,0,Tidak,12,0,2.8608333333333333,2.83,0.5700000000000003,Sedang
2.06,4,0,Tidak,9,0,3.2099999999999995,3.4,0.8799999999999999,Sedang
3.71,3,1,Tidak,14,1,3.2492857142857146,2.54,-0.5499999999999998,Sedang
2.69,0,2,Ya,14,0,3.165714285714286,3.88,1.37,Tinggi
2.27,2,2,Ya,10,1,2.7090000000000005,2.12,-0.08999999999999986,Sedang
2.12,1,1,Tidak,10,1,2.7600000000000002,3.58,1.08,Rendah
3.05,2,2,Tidak,13,1,3.19,3.6,1.5100000000000002,Rendah
2.08,0,2,Tidak,8,0,2.80875,2.19,-0.7600000000000002,Sedang
2.36,5,0,Tidak,7,1,2.987142857142857,3.78,0.8799999999999999,Sedang
3.55,0,0,Tidak,10,1,3.0010000000000003,2.73,0.6800000000000002,Sedang
2.41,2,0,Ya,11,1,3.016363636363636,3.17,0.16000000000000014,Rendah
3.84,1,0,Ya,10,1,2.9709999999999996,3.72,1.12,Rendah
2.89,3,0,Ya,12,0,2.8041666666666667,3.27,0.6000000000000001,Rendah
2.75,3,0,Tidak,12,1,2.8875000000000006,3.45,0.27,Sedang
3.9,3,1,Tidak,14,1,2.9500000000000006,3.53,0.5299999999999998,Sedang
2.5,5,0,Ya,7,1,2.8314285714285714,2.98,-0.4500000000000002,Sedang
3.78,3,1,Ya,7,0,3.382857142857143,3.3,-0.5500000000000003,Sedang
2.34,5,1,Ya,8,0,2.6675000000000004,3.05,0.9899999999999998,Rendah
3.47,5,2,Tidak,13,0,3.18,3.21,0.3700000000000001,Tinggi
3.29,2,0,Tidak,7,1,2.911428571428572,2.67,0.21999999999999975,Tinggi
3.51,5,0,Tidak,9,1,3.1388888888888884,2.81,-0.6499999999999999,Tinggi
3.98,2,1,Ya,14,0,2.920000000000001,2.5,0.040000000000000036,Sedang
3.9,3,0,Ya,14,1,3.2642857142857147,2.72,-0.73,Sedang
