IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.85,70.7,5.9,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.08,65.1,1.9,Aktif,Menengah,Laki-laki,Tidak,Ya
3.12,58.7,2.8,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.97,98.0,13.0,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.14,87.9,,Aktif,Rendah,Laki-laki,Ya,Ya
2.99,79.3,7.4,,Menengah,Laki-laki,Tidak,Ya
3.03,83.4,10.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
4.0,66.5,7.8,Aktif,Rendah,Laki-laki,Tidak,Ya
2.91,100.0,7.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
3.14,81.6,6.2,Tidak Aktif,Rendah,Perempuan,Ya,Ya
2.98,81.3,,Aktif,Tinggi,Laki-laki,Tidak,Ya
2.47,88.7,7.3,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.51,85.8,7.6,Tidak Aktif,Rendah,Perempuan,Ya,Ya
3.34,82.7,9.2,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
3.36,70.5,8.6,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.59,85.7,7.7,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
3.63,100.0,7.4,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.37,96.1,5.0,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.26,99.1,10.2,Aktif,Menengah,Laki-laki,Tidak,Ya
3.99,73.9,2.6,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.55,,7.6,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
2.75,78.5,2.4,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.04,80.7,6.0,Aktif,Menengah,Perempuan,Tidak,Ya
2.77,93.1,8.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak
2.3,59.7,6.4,Aktif,Rendah,Laki-laki,Tidak,Tidak
3.03,98.4,10.7,Aktif,Rendah,Perempuan,Tidak,Ya
2.52,78.1,9.1,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.21,74.9,8.3,,Tinggi,Perempuan,Tidak,Ya
2.59,67.9,4.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
,60.1,9.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.65,89.9,10.3,Aktif,Rendah,Laki-laki,Tidak,Tidak
2.86,80.9,1.6,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.37,64.5,7.6,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.45,64.5,5.8,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.1,76.0,5.6,Aktif,Tinggi,Perempuan,Tidak,Tidak
3.59,100.0,11.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.28,76.9,6.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
3.08,62.0,6.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.12,77.1,5.8,Aktif,Rendah,Perempuan,Ya,Tidak
3.35,76.7,6.1,Aktif,Tinggi,Perempuan,Tidak,Tidak
2.44,47.6,0.9,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.41,79.3,0.9,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.23,77.2,11.9,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.13,88.4,5.1,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.11,100.0,3.4,Aktif,Rendah,Laki-laki,Ya,Ya
3.16,93.5,0.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.69,76.8,3.1,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.1,66.7,2.8,Aktif,Menengah,Laki-laki,Ya,Ya
3.13,100.0,12.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
2.68,80.7,11.0,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
3.84,80.2,3.1,Aktif,Menengah,Laki-laki,Tidak,Ya
3.21,79.7,12.4,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.46,82.4,9.2,Aktif,Rendah,Laki-laki,Ya,Ya
3.3,78.3,5.6,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.56,73.1,0.0,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.35,73.4,11.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
3.52,79.6,2.7,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
2.63,73.5,1.6,Aktif,Rendah,Laki-laki,Tidak,Tidak
3.43,71.4,7.9,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak
3.19,81.3,14.7,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.37,76.9,11.2,Aktif,Menengah,Perempuan,Ya,Tidak
3.85,98.0,8.4,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.89,48.2,6.9,,Rendah,Laki-laki,Ya,Tidak
2.66,93.1,,Aktif,Menengah,Laki-laki,Ya,Ya
2.6,95.0,7.9,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.63,55.1,6.1,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
2.97,,4.0,Aktif,Menengah,Perempuan,Tidak,Tidak
3.15,75.5,6.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
3.12,63.1,1.7,Aktif,Tinggi,Perempuan,Tidak,Tidak
3.37,70.7,6.4,Aktif,Rendah,Laki-laki,Ya,Ya
3.01,66.7,0.2,Aktif,Rendah,Perempuan,Ya,Tidak
3.65,100.0,6.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.88,91.2,2.7,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
4.0,95.3,2.9,Aktif,Rendah,Perempuan,Ya,Ya
3.28,88.7,8.2,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.61,66.5,7.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak
2.52,73.7,9.8,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.22,85.9,1.8,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.9,65.3,1.4,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.32,88.6,8.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.21,77.1,4.6,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
2.97,75.5,4.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
2.62,88.5,6.8,Tidak Aktif,Menengah,Perempuan,Ya,Tidak
2.32,,4.4,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
2.8,75.7,6.5,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.39,93.9,1.5,Aktif,Menengah,Laki-laki,Tidak,Tidak
3.1,67.0,4.0,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.44,,6.2,,Menengah,Perempuan,Tidak,Tidak
3.08,87.1,2.5,Aktif,Menengah,Perempuan,Tidak,Tidak
3.17,76.3,8.3,Aktif,Menengah,Perempuan,Ya,Ya
2.6,83.9,6.6,Tidak Aktif,Rendah,Perempuan,Ya,Ya
3.07,65.0,7.6,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.03,91.1,8.8,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
2.49,77.8,10.0,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.16,73.7,5.0,Aktif,Tinggi,Perempuan,Tidak,Tidak
,92.6,5.5,Tidak Aktif,Menengah,Perempuan,Ya,Ya
3.49,71.5,8.2,Aktif,Tinggi,Perempuan,Tidak,Ya
3.47,63.1,6.1,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
2.38,61.3,5.2,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
2.58,87.3,,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
3.23,64.6,3.4,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.23,100.0,3.6,Aktif,Menengah,Perempuan,Tidak,Ya
3.23,55.0,2.2,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak
4.0,100.0,14.2,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
3.26,82.5,2.5,,Tinggi,Perempuan,Tidak,Ya
3.51,78.8,3.0,Aktif,Menengah,Perempuan,Tidak,Ya
3.43,73.5,2.1,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.29,84.8,9.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.86,79.5,6.2,Aktif,Rendah,Perempuan,Tidak,Tidak
3.34,93.2,10.6,Aktif,Menengah,Laki-laki,Tidak,Ya
2.65,81.4,,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.89,81.8,6.3,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.78,75.6,2.3,Aktif,Menengah,Laki-laki,Ya,Ya
3.04,79.3,13.2,Aktif,Menengah,Perempuan,Ya,Ya
4.0,83.7,3.5,Aktif,Tinggi,Perempuan,Tidak,Ya
,59.5,4.8,Aktif,Tinggi,Laki-laki,Tidak,Tidak
3.31,63.8,9.0,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
,88.9,8.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.79,82.1,6.9,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.49,77.8,4.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.03,80.2,4.8,Aktif,Rendah,Laki-laki,Ya,Ya
2.52,,5.5,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.68,73.5,9.2,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.31,70.7,14.1,Tidak Aktif,Rendah,Perempuan,Ya,Ya
2.67,82.4,5.1,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
3.1,68.3,1.3,Aktif,Menengah,Laki-laki,Ya,Tidak
3.02,84.9,4.9,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.71,59.6,,Aktif,Rendah,Laki-laki,Ya,Tidak
3.96,92.3,3.0,Tidak Aktif,Menengah,Perempuan,Ya,Ya
3.29,85.7,12.7,Aktif,Menengah,Laki-laki,Ya,Ya
2.09,83.1,10.8,Aktif,Menengah,Laki-laki,Tidak,Ya
3.08,91.8,6.3,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.7,100.0,9.0,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.38,92.2,11.1,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.64,57.9,3.7,Aktif,Menengah,Perempuan,Ya,Tidak
2.95,64.6,4.6,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.23,72.5,4.5,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.39,80.3,3.0,,Menengah,Perempuan,Tidak,Tidak
2.46,86.2,3.6,,Rendah,Laki-laki,Tidak,Tidak
2.85,71.3,1.9,Aktif,Tinggi,Laki-laki,Tidak,Tidak
2.79,82.2,6.2,Aktif,Rendah,Laki-laki,Tidak,Tidak
2.71,70.9,1.3,Aktif,Menengah,Laki-laki,Ya,Tidak
3.79,72.7,6.9,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.18,63.1,0.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.43,68.9,5.5,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak
3.41,63.8,6.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.95,68.3,0.0,Tidak Aktif,Menengah,Perempuan,Ya,Ya
3.46,92.6,6.1,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.32,68.6,8.6,Aktif,Menengah,Laki-laki,Tidak,Tidak
2.78,100.0,4.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.57,85.9,10.7,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.68,82.2,7.5,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
3.2,69.7,4.0,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.35,88.4,6.2,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.58,73.1,7.4,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.97,81.5,5.1,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
1.54,100.0,9.7,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.54,78.8,5.0,Aktif,Menengah,Laki-laki,Tidak,Tidak
2.89,93.8,5.2,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.44,71.6,0.5,Aktif,Tinggi,Perempuan,Tidak,Tidak
,79.6,5.4,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.36,100.0,2.9,Aktif,Rendah,Perempuan,Tidak,Ya
2.8,72.5,4.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.06,100.0,9.6,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
3.65,88.5,11.7,Aktif,Rendah,Perempuan,Tidak,Ya
2.35,73.3,8.8,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.52,,3.2,Aktif,Rendah,Laki-laki,Ya,Tidak
3.0,91.7,6.4,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.56,87.5,11.0,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
3.21,61.2,5.3,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.09,71.3,11.9,Aktif,Rendah,Laki-laki,Tidak,Tidak
2.73,77.0,7.2,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.03,79.1,7.4,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
,87.4,5.4,Aktif,Rendah,Laki-laki,Ya,Ya
3.05,82.1,4.9,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
3.3,64.0,4.3,Aktif,Tinggi,Laki-laki,Ya,Ya
3.71,84.6,8.2,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.44,87.3,9.0,Aktif,Rendah,Perempuan,Ya,Tidak
3.96,86.7,5.8,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.12,93.0,1.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.93,90.0,1.3,Aktif,Menengah,Laki-laki,Tidak,Ya
3.26,85.5,9.2,Aktif,Menengah,Laki-laki,Ya,Ya
3.13,79.2,4.9,Aktif,Menengah,Laki-laki,Tidak,Ya
2.72,60.1,0.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.91,85.2,7.8,Aktif,Rendah,Laki-laki,Ya,Ya
2.78,82.5,14.1,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.73,83.3,6.3,Aktif,Rendah,Laki-laki,Ya,Ya
3.38,64.7,8.0,Aktif,Menengah,Laki-laki,Tidak,Tidak
3.16,67.0,6.3,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.69,92.6,3.6,Aktif,Menengah,Perempuan,Tidak,Tidak
3.4,79.5,9.4,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
3.14,88.2,5.5,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
3.37,80.3,6.6,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.28,80.4,9.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.63,91.3,3.7,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
2.75,73.8,8.4,Aktif,Menengah,Perempuan,Tidak,Ya
3.34,81.2,7.5,Aktif,Tinggi,Perempuan,Tidak,Ya
3.27,74.5,2.7,Aktif,Rendah,Perempuan,Tidak,Tidak
2.99,74.8,,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.05,76.3,3.0,Aktif,Rendah,Laki-laki,Tidak,Tidak
3.57,82.7,7.0,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.73,74.3,6.0,Tidak Aktif,Rendah,Perempuan,Ya,Ya
3.25,95.1,8.4,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.91,69.3,6.6,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak
2.9,77.8,5.3,Aktif,Menengah,Perempuan,Tidak,Ya
3.49,74.7,8.2,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
3.37,,11.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
3.37,82.4,8.2,Aktif,Menengah,Perempuan,Tidak,Tidak
3.59,92.4,4.6,Aktif,Menengah,Perempuan,Tidak,Ya
3.01,62.2,2.6,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.31,83.2,3.2,Tidak Aktif,Rendah,Perempuan,Ya,Ya
2.86,90.7,6.8,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
3.15,81.0,4.6,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
2.94,92.8,6.9,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
3.04,73.8,6.5,Tidak Aktif,Menengah,Perempuan,Ya,Ya
3.27,96.9,9.4,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
2.63,100.0,6.9,Aktif,Menengah,Laki-laki,Tidak,Ya
3.94,75.6,7.2,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.55,74.7,8.3,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
2.45,97.4,1.5,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
3.52,99.0,4.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
3.36,73.7,4.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.28,75.0,0.9,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.28,76.6,8.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
2.99,63.9,10.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.6,69.0,8.7,Tidak Aktif,Rendah,Perempuan,Ya,Ya
3.03,68.0,5.1,Aktif,Menengah,Perempuan,Ya,Tidak
2.7,70.8,11.8,Tidak Aktif,Menengah,Perempuan,Ya,Tidak
,79.6,7.1,Aktif,Rendah,Laki-laki,Ya,Ya
2.93,82.8,3.9,Aktif,Rendah,Laki-laki,Tidak,Ya
2.63,98.6,4.6,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.86,68.0,3.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.19,91.8,4.8,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.75,77.4,6.0,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.63,79.4,6.0,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.11,88.1,5.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
3.11,,6.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.77,84.6,9.1,Aktif,Rendah,Perempuan,Tidak,Ya
2.79,82.0,6.0,Aktif,Rendah,Laki-laki,Ya,Tidak
3.1,85.9,3.8,Aktif,Tinggi,Laki-laki,Tidak,Ya
2.35,83.5,1.2,Tidak Aktif,Tinggi,Perempuan,Ya,Tidak
